snapshot_year,n_all,success_rate_all,n_train,success_rate_train,n_test,success_rate_test
1992,61,0.9836065573770492,61.0,0.9836065573770492,,
1993,64,0.953125,64.0,0.953125,,
1994,67,0.9850746268656716,67.0,0.9850746268656716,,
1995,108,0.9907407407407407,108.0,0.9907407407407407,,
1996,138,0.9710144927536232,138.0,0.9710144927536232,,
1997,178,0.9719101123595506,178.0,0.9719101123595506,,
1998,227,0.9515418502202643,227.0,0.9515418502202643,,
1999,375,0.9333333333333333,375.0,0.9333333333333333,,
2000,412,0.9563106796116505,412.0,0.9563106796116505,,
2001,312,0.9487179487179487,312.0,0.9487179487179487,,
2002,304,0.9210526315789473,304.0,0.9210526315789473,,
2003,289,0.8754325259515571,289.0,0.8754325259515571,,
2004,373,0.8498659517426274,373.0,0.8498659517426274,,
2005,439,0.7995444191343963,439.0,0.7995444191343963,,
2006,519,0.7167630057803468,519.0,0.7167630057803468,,
2007,639,0.6431924882629108,639.0,0.6431924882629108,,
2008,632,0.5363924050632911,632.0,0.5363924050632911,,
2009,614,0.5472312703583062,614.0,0.5472312703583062,,
2010,729,0.46364883401920437,729.0,0.46364883401920437,,
2011,784,0.42091836734693877,784.0,0.42091836734693877,,
2012,643,0.4152410575427683,643.0,0.4152410575427683,,
2013,372,0.3951612903225806,,,372.0,0.3951612903225806
2014,293,0.21160409556313994,,,293.0,0.21160409556313994
2015,398,0.032663316582914576,,,398.0,0.032663316582914576
2016,65,0.015384615384615385,,,65.0,0.015384615384615385
