year,n_train,rate_train,n_test,rate_test,delta_rate_test_minus_train
1981,21.0,1.0,,,
1982,19.0,1.0,,,
1983,31.0,1.0,,,
1984,34.0,0.9705882352941176,,,
1985,49.0,0.9795918367346939,,,
1986,26.0,0.9615384615384616,,,
1987,31.0,1.0,,,
1988,35.0,0.9428571428571428,,,
1989,39.0,0.9743589743589743,,,
1990,44.0,0.9545454545454546,,,
1991,39.0,1.0,,,
1992,61.0,0.9836065573770492,,,
1993,64.0,0.953125,,,
1994,67.0,0.9850746268656716,,,
1995,108.0,0.9907407407407407,,,
1996,138.0,0.9710144927536232,,,
1997,178.0,0.9719101123595506,,,
1998,227.0,0.9515418502202643,,,
1999,375.0,0.9333333333333333,,,
2000,412.0,0.9563106796116505,,,
2001,312.0,0.9487179487179487,,,
2002,304.0,0.9210526315789473,,,
2003,289.0,0.8754325259515571,,,
2004,373.0,0.8498659517426274,,,
2005,439.0,0.7995444191343963,,,
2006,519.0,0.7167630057803468,,,
2007,639.0,0.6431924882629108,,,
2008,581.0,0.5370051635111877,51.0,0.5294117647058824,-0.007593398805305296
2009,,,614.0,0.5472312703583062,
2010,,,712.0,0.46769662921348315,
